Index,Input0,Input1,Input2
0,556,513,740
1,556,513,740
2,556,513,740
3,556,513,740
4,556,513,740
5,556,513,740
6,556,513,740
7,556,513,740
8,556,513,740
9,556,513,740
10,556,513,740
11,556,513,740
12,556,513,740
13,556,513,740
14,556,513,740
15,556,513,740
16,556,513,740
17,503,513,740
18,500,524,736
19,499,522,733
20,501,528,736
21,503,523,740
22,503,516,734
23,499,528,731
24,501,524,740
25,502,520,736
26,499,528,734
27,501,519,734
28,502,518,735
29,499,529,737
30,498,527,738
31,503,520,733
32,497,527,731
33,501,526,733
34,500,520,735
35,499,533,733
36,499,533,735
37,505,520,736
38,502,525,742
39,504,518,737
40,501,519,732
41,498,535,736
42,514,513,724
43,505,570,726
44,499,585,727
45,490,612,707
46,480,685,750
47,522,614,759
48,516,631,734
49,526,611,749
50,516,641,740
51,515,633,744
52,527,596,744
53,549,490,768
54,549,490,729
55,521,437,714
56,543,384,710
57,558,341,714
58,547,391,760
59,535,437,765
60,513,470,735
61,485,528,733
62,507,552,749
63,503,536,754
64,516,524,750
65,507,525,725
66,507,528,726
67,505,534,735
68,505,535,726
69,509,530,733
70,504,534,741
71,508,520,730
72,505,520,725
73,500,522,736
74,497,524,730
75,498,526,730
76,500,526,744
77,506,520,744
78,498,527,730
79,498,534,737
80,501,532,742
81,502,534,738
82,503,534,735
83,496,535,724
84,511,544,709
85,500,551,747
86,504,536,739
87,497,533,727
88,494,537,731
89,503,532,729
90,500,530,728
91,496,538,735
92,504,535,733
