Index,Input0,Input1,Input2
0,496,548,712
1,496,548,712
2,496,548,712
3,496,548,712
4,496,548,712
5,496,548,712
6,496,548,712
7,496,548,712
8,496,548,712
9,496,548,712
10,496,548,712
11,496,548,712
12,496,548,712
13,496,548,712
14,496,548,712
15,496,548,712
16,496,548,712
17,496,548,712
18,486,522,732
19,489,526,735
20,490,526,733
21,489,527,728
22,490,528,736
23,489,527,732
24,487,522,730
25,490,523,741
26,486,522,737
27,489,525,737
28,492,524,736
29,492,527,733
30,489,524,735
31,486,520,734
32,490,527,735
33,489,529,733
34,491,527,735
35,485,524,733
36,485,525,733
37,486,523,738
38,485,526,734
39,485,530,732
40,483,528,735
41,469,526,737
42,460,522,746
43,446,519,753
44,423,522,727
45,421,509,725
46,440,536,748
47,435,533,740
48,427,495,731
49,440,507,719
50,481,516,715
51,504,509,709
52,546,483,689
53,570,498,757
54,602,498,760
55,593,484,686
56,609,530,709
57,608,537,764
58,585,495,762
59,566,488,765
60,556,485,760
61,532,484,717
62,517,470,728
63,504,464,757
64,517,484,738
65,517,491,730
66,510,487,727
67,503,484,731
68,506,488,725
69,506,488,727
70,505,489,724
71,505,486,726
72,503,490,725
73,507,496,722
74,502,484,731
75,498,473,735
76,503,486,728
77,509,497,730
78,512,496,728
79,503,481,747
80,505,476,744
81,507,485,739
82,504,493,729
83,507,486,724
84,511,489,729
85,518,487,749
86,503,482,736
87,496,475,735
88,504,485,730
89,517,495,723
90,510,495,717
91,504,481,732
92,516,484,733
93,515,485,730
94,501,484,727
