Input0
336
332
332
331
336
356
356
356
356
352
581
567
570
569
571
640
642
645
642
640
649
649
649
649
649
473
472
472
469
468
375
375
372
375
372
232
236
232
327
225
164
164
271
164
164
164
206
105
132
152
109
110
105
79
179
83
63
63
63
32
67
43
47
16
47
111
